character,decomposition,etymology,radical,matches
估,⿰亻古,"{type: pictophonetic, phonetic: 古, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
伲,⿰亻尼,"{type: pictophonetic, phonetic: 尼, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
伴,⿰亻半,"{type: pictophonetic, phonetic: 半, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
伶,⿰亻令,"{type: pictophonetic, phonetic: 令, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
伸,⿰亻申,"{type: ideographic, hint: To extend your confidence 申 to another person 亻; 申 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
伺,⿰亻司,"{type: pictophonetic, phonetic: 司, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
似,⿰亻以,"{type: ideographic, hint: One person 亻 resembles another}",亻,"[[0],[0],[1],[1],[1],[1]]"
伽,⿰亻加,"{type: pictophonetic, phonetic: 加, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
伾,⿰亻丕,"{type: ideographic, hint: A great 丕 man 亻; 丕 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佃,⿰亻田,"{type: ideographic, hint: A person 亻 on the farm 田; 田 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
但,⿰亻旦,"{type: pictophonetic, phonetic: 旦}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佇,⿰亻宁,"{type: ideographic, hint: A calm 宁 person 亻}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佈,⿰亻布,"{type: ideographic, hint: A person 亻 making an announcement 布; 布 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佉,⿰亻去,"{type: pictophonetic, phonetic: 去, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
位,⿰亻立,"{type: ideographic, hint: The place where a person 亻 stands 立}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
低,⿰亻氐,"{type: pictophonetic, phonetic: 氐}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
住,⿰亻主,"{type: ideographic, hint: A person 亻 who hosts 主; 主 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佐,⿰亻左,"{type: pictophonetic, phonetic: 左, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佑,⿰亻右,"{type: pictophonetic, phonetic: 右, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
体,⿰亻本,null,亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佔,⿰亻占,"{type: pictophonetic, phonetic: 占, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
何,⿰亻可,null,亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佗,⿰亻它,"{type: ideographic, hint: Another 它 person 亻; see 他 and 她 for modern variants}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佘,⿱人示,"{type: pictophonetic, phonetic: 示, semantic: 人, hint: person}",人,"[[0],[0],[1],[1],[1],[1],[1]]"
余,⿱人？,null,人,"[[0],[0],null,null,null,null,null]"
佚,⿰亻失,"{type: ideographic, hint: To lose 失 a person 亻}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佛,⿰亻弗,"{type: pictophonetic, phonetic: 弗, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
作,⿰亻乍,"{type: ideographic, hint: A person 亻 making something for the first time 乍; 乍 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佝,⿰亻句,null,亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佞,⿰亻⿱二女,"{type: ideographic, hint: Kindness 仁 toward a woman 女}",亻,"[[0],[0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
佟,⿰亻冬,"{type: pictophonetic, phonetic: 冬, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
你,⿰亻尔,"{type: ideographic, hint: Pronoun 尔 for a person 亻}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佣,⿰亻用,"{type: ideographic, hint: An employed 用 person 亻; 用 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佤,⿰亻瓦,"{type: pictophonetic, phonetic: 瓦, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1]]"
佥,⿳亼⺍一,"{type: ideographic, hint: Many people gathered 亼 under one roof}",人,"[[0],[0],[0],[1],[1],[1],[2]]"
佧,⿰亻卡,"{type: pictophonetic, phonetic: 卡, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
佩,⿰亻⿵凡巾,"{type: ideographic, hint: Common 凡 cloth 巾 ornaments worn by people 亻}",亻,"[[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
佬,⿰亻老,"{type: ideographic, hint: An old 老 person 亻; 老 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佯,⿰亻羊,"{type: pictophonetic, phonetic: 羊, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佰,⿰亻百,"{type: ideographic, hint: One hundred 百 people 亻; 百 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佳,⿰亻圭,"{type: pictophonetic, phonetic: 圭, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佴,⿰亻耳,"{type: ideographic, hint: A second 耳 person 亻; 耳 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
併,⿰亻并,"{type: ideographic, hint: A conqueror 亻 taking land 并; 并 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佶,⿰亻吉,"{type: pictophonetic, phonetic: 吉, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佻,⿰亻兆,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佼,⿰亻交,"{type: pictophonetic, phonetic: 交, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佽,⿰亻次,"{type: pictophonetic, phonetic: 次, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
佾,⿰亻⿱八月,null,亻,"[[0],[0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]]"
使,⿰亻吏,"{type: ideographic, hint: A person 亻 working for the government 吏}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侃,⿰亻⿱口川,"{type: ideographic, hint: As trustworthy 㐰 as spring-water 川}",亻,"[[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
侄,⿰亻至,"{type: pictophonetic, phonetic: 至, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
來,⿻木从,"{type: ideographic, hint: A wheat plant that has just borne fruit; compare 来}",人,"[[0],[1],[1],[1],[1],[0],[0],[0]]"
侈,⿰亻多,"{type: ideographic, hint: A person 亻 with more than they need 多}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侉,⿰亻夸,"{type: pictophonetic, phonetic: 夸, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
例,⿰亻列,"{type: pictophonetic, phonetic: 列, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侌,⿱今云,"{type: pictophonetic, phonetic: 今}",人,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
侍,⿰亻寺,"{type: pictophonetic, phonetic: 寺, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侏,⿰亻朱,"{type: pictophonetic, phonetic: 朱, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侑,⿰亻有,"{type: pictophonetic, phonetic: 有, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侔,⿰亻牟,"{type: pictophonetic, phonetic: 牟, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侖,⿱亼冊,"{type: ideographic, hint: To assemble 亼 a book 冊; to prepare an argument}",人,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
侗,⿰亻同,"{type: pictophonetic, phonetic: 同, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
供,⿰亻共,"{type: ideographic, hint: A person 亻 making an offering with both hands 共; 共 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
依,⿰亻衣,"{type: pictophonetic, phonetic: 衣, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侠,⿰亻夹,"{type: pictophonetic, phonetic: 夹, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侣,⿰亻吕,"{type: pictophonetic, phonetic: 吕, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侥,⿰亻尧,"{type: pictophonetic, phonetic: 尧, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侦,⿰亻贞,"{type: pictophonetic, phonetic: 贞, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侧,⿰亻则,"{type: pictophonetic, phonetic: 则, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侨,⿰亻乔,"{type: pictophonetic, phonetic: 乔, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侩,⿰亻会,"{type: ideographic, hint: A person 亻 who organizes a meeting 会}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侪,⿰亻齐,"{type: pictophonetic, phonetic: 齐, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侬,⿰亻农,"{type: pictophonetic, phonetic: 农, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
侮,⿰亻每,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
侯,⿰亻矦,"{type: pictographic, hint: A person 亻 who might be a target 矦}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
侵,⿰亻⿳彐冖又,null,亻,"[[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,2],[1,2]]"
侶,⿰亻呂,"{type: pictophonetic, phonetic: 呂, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
侷,⿰亻局,"{type: pictophonetic, phonetic: 局, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
便,⿰亻更,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
係,⿰亻系,"{type: ideographic, hint: Someone 亻 who connects 系 people; 系 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
促,⿰亻足,"{type: ideographic, hint: Someone 亻 on your heels 足; 足 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俄,⿰亻我,"{type: pictophonetic, phonetic: 我}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俅,⿰亻求,"{type: pictophonetic, phonetic: 求}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俉,⿰亻吾,"{type: pictophonetic, phonetic: 吾, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俊,⿰亻夋,"{type: pictophonetic, phonetic: 夋, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俎,⿰仌且,"{type: pictographic, hint: A slab of meat on a chopping board 且}",人,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
俏,⿰亻肖,"{type: ideographic, hint: A similar 肖 person 亻; 肖 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俐,⿰亻利,"{type: pictophonetic, phonetic: 利, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俑,⿰亻甬,"{type: pictophonetic, phonetic: 甬, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俗,⿰亻谷,"{type: pictophonetic, phonetic: 谷, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俘,⿰亻孚,"{type: pictophonetic, phonetic: 孚, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俚,⿰亻里,"{type: pictophonetic, phonetic: 里, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俛,⿰亻免,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俜,⿰亻甹,"{type: ideographic, hint: A trusted 甹 person 亻;  甹 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
保,⿰亻呆,"{type: pictophonetic, phonetic: 呆, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俞,⿱亼刖,null,人,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
俟,⿰亻矣,"{type: ideographic, hint: A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俠,⿰亻夾,"{type: ideographic, hint: Someone 亻 who supports 夾 others; 夾 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
信,⿰亻言,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俣,⿰亻吴,"{type: pictophonetic, phonetic: 吴, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俦,⿰亻寿,"{type: ideographic, hint: Someone 亻 with you all your life 寿; 寿 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俨,⿰亻严,"{type: pictophonetic, phonetic: 严, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俩,⿰亻两,"{type: ideographic, hint: A couple 寿; 寿 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俪,⿰亻丽,"{type: pictophonetic, phonetic: 丽, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
俭,⿰亻佥,"{type: pictophonetic, phonetic: 佥, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
修,⿱攸彡,"{type: pictophonetic, phonetic: 攸, semantic: 彡, hint: hair}",亻,"[[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
俯,⿰亻府,"{type: pictophonetic, phonetic: 府, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
俱,⿰亻具,"{type: pictophonetic, phonetic: 具, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
俳,⿰亻非,"{type: pictophonetic, phonetic: 非, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
俸,⿰亻奉,"{type: ideographic, hint: Wages offered 奉 to a person 亻; 奉 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
俺,⿰亻奄,"{type: pictophonetic, phonetic: 奄, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
俾,⿰亻卑,"{type: pictophonetic, phonetic: 卑}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倀,⿰亻長,"{type: pictophonetic, phonetic: 長, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倆,⿰亻兩,"{type: ideographic, hint: A couple 兩; 兩 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倉,⿱人⿸户口,"{type: ideographic, hint: A granary with a roof 人, door 户, and foundation 口}",人,"[[0],[0],null,[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
個,⿰亻固,"{type: pictophonetic, phonetic: 固, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倌,⿰亻官,"{type: pictophonetic, phonetic: 官, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倍,⿰亻咅,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倏,⿸攸犬,"{type: pictophonetic, phonetic: 攸, semantic: 犬, hint: dog}",亻,"[[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
們,⿰亻門,"{type: pictophonetic, phonetic: 門, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倒,⿰亻到,"{type: pictophonetic, phonetic: 到, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倔,⿰亻屈,"{type: ideographic, hint: Someone 亻 who does not bend 屈; 屈 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倖,⿰亻幸,"{type: ideographic, hint: A lucky 幸 person 亻; 幸 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倘,⿰亻尚,"{type: pictophonetic, phonetic: 尚, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
候,⿰亻矦,"{type: pictophonetic, phonetic: 矦, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倚,⿰亻奇,"{type: pictophonetic, phonetic: 奇, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倜,⿰亻周,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倝,⿰龺人,"{type: pictophonetic, phonetic: 人, semantic: 龺, hint: sunlight}",人,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1]]"
倞,⿰亻京,"{type: ideographic, hint: Someone 亻 living in the capital 京; 京 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
借,⿰亻昔,"{type: pictophonetic, phonetic: 昔, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倠,⿰亻隹,"{type: pictophonetic, phonetic: 隹, semantic: 亻}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倡,⿰亻昌,"{type: ideographic, hint: Someone 亻 who lights the way 昌; 昌 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倥,⿰亻空,"{type: pictophonetic, phonetic: 空, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倦,⿰亻卷,"{type: ideographic, hint: A curled-up 卷 person 亻; 卷 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倨,⿰亻居,"{type: pictophonetic, phonetic: 居, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倩,⿰亻青,"{type: ideographic, hint: A young 青 person 亻; 青 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倪,⿰亻兒,"{type: ideographic, hint: A young child 兒}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倫,⿰亻侖,"{type: ideographic, hint: The logical order 侖 of human 亻 society; 侖 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倬,⿰亻卓,"{type: pictophonetic, phonetic: 卓, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倭,⿰亻委,"{type: pictophonetic, phonetic: 委, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倮,⿰亻果,"{type: pictophonetic, phonetic: 果, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
债,⿰亻责,"{type: ideographic, hint: A person's 亻 duty 责; 责 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倻,⿰亻耶,"{type: pictophonetic, phonetic: 耶, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
值,⿰亻直,"{type: pictophonetic, phonetic: 直, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
倾,⿰亻顷,"{type: pictophonetic, phonetic: 顷, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
偃,⿰亻匽,"{type: pictophonetic, phonetic: 匽, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
假,⿰亻叚,"{type: ideographic, hint: A false 叚 person 亻; 叚 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偈,⿰亻曷,null,亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偉,⿰亻韋,"{type: pictophonetic, phonetic: 韋, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偌,⿰亻若,"{type: pictophonetic, phonetic: 若, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
偎,⿰亻畏,"{type: ideographic, hint: To cling to someone 亻 in fear 畏; 畏 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偏,⿰亻扁,"{type: pictophonetic, phonetic: 扁, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偕,⿰亻皆,"{type: pictophonetic, phonetic: 皆, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
做,⿰亻故,"{type: ideographic, hint: Someone 亻 who causes things to happen 故; 故 also provides the pronuncation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
停,⿰亻亭,"{type: pictophonetic, phonetic: 亭, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
健,⿰亻建,"{type: ideographic, hint: Someone 亻 who can build 建 things; 建 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
偬,⿰亻怱,"{type: ideographic, hint: Someone 亻 in a rush 怱; 怱 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
側,⿰亻則,"{type: pictophonetic, phonetic: 則, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偵,⿰亻貞,"{type: pictophonetic, phonetic: 貞, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偶,⿰亻禺,"{type: pictophonetic, phonetic: 禺, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偷,⿰亻俞,"{type: pictophonetic, phonetic: 俞, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偻,⿰亻娄,"{type: pictophonetic, phonetic: 娄, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偽,⿰亻為,"{type: pictophonetic, phonetic: 為, semantic: 亻}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偾,⿰亻贲,"{type: pictophonetic, phonetic: 贲, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
偿,⿰亻尝,"{type: pictophonetic, phonetic: 尝, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
傀,⿰亻鬼,"{type: pictophonetic, phonetic: 鬼, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
傅,⿰亻尃,"{type: ideographic, hint: Someone 亻 who lectures 尃; 尃 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
傈,⿰亻栗,"{type: pictophonetic, phonetic: 栗, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
傍,⿰亻旁,"{type: ideographic, hint: Someone 亻 by your side 旁; 旁 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
傑,⿰亻桀,"{type: pictophonetic, phonetic: 桀, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
