character,decomposition,etymology,radical,matches
寮,⿱宀尞,"{type: pictophonetic, phonetic: 尞, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寰,⿱宀睘,"{type: pictophonetic, phonetic: 睘, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寵,⿱宀龍,"{type: pictophonetic, phonetic: 龍, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寶,⿳宀珤貝,"{type: ideographic, hint: Valuables 貝 kept in one's house 宀; 珤 also provides the pronunciation}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[2],[2],[2],[2],[2],[2],[2]]"
寸,？,"{type: ideographic, hint: A hand with a dot indicating where the pulse can be felt, about an inch up the wrist}",寸,"[null,null,null]"
对,⿰又寸,"{type: ideographic, hint: A pair 又 of hands 寸}",寸,"[[0],[0],[1],[1],[1]]"
寺,⿱土寸,"{type: ideographic, hint: An offering 土 in your hand 寸}",寸,"[[0],[0],[0],[1],[1],[1]]"
寻,⿱彐寸,"{type: pictophonetic, phonetic: 寸, semantic: 彐, hint: snout}",彐,"[[0],[0],[0],[1],[1],[1]]"
导,⿱巳寸,"{type: ideographic, hint: A hand 寸 pointing the way to someplace 巳}",寸,"[[0],[0],[0],[1],[1],[1]]"
寽,⿱爫寸,"{type: ideographic, hint: A small object 寸 clutched in one's hand 爫}",寸,"[[0],[0],[0],[0],[1],[1],[1]]"
寿,⿸丰寸,"{type: ideographic, hint: Altered form of 老}",寸,"[[0],[0],[0],[0],[1],[1],[1]]"
封,⿰圭寸,"{type: ideographic, hint: To seal 寸 something with a handful of mortar 土}",寸,"[[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
尃,⿱甫寸,"{type: pictophonetic, phonetic: 甫}",寸,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
射,⿰身寸,"{type: pictographic, hint: A bow 身 being drawn by a hand 寸}",寸,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
将,⿰丬⿱夕寸,"{type: ideographic, hint: Going to bed 丬 at night 夕, a predictable future}",丬,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
將,⿰爿⿱夕寸,"{type: ideographic, hint: Going to bed 爿 at night 夕, a predictable future}",寸,"[[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
專,⿱叀寸,"{type: pictophonetic, phonetic: 叀, semantic: 寸, hint: small}",寸,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
尉,⿰⿸尸示寸,null,寸,"[[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[0,1],[0,1],[1],[1],[1]]"
尊,⿱酋寸,"{type: ideographic, hint: A hand 寸 making an offering of wine 酋}",寸,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
尋,⿳彐⿰工口寸,"{type: ideographic, hint: A hand 彐 looking 工 for an item 口; 寸 provides the pronunciation}",寸,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[2],[2],[2]]"
尌,⿰壴寸,"{type: pictophonetic, phonetic: 壴, semantic: 寸, hint: inch}",寸,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
對,⿰⿱业羊寸,"{type: ideographic, hint: A hand 寸 holding a lit 业 candelabrum 羊}",寸,"[[0,0],[0,0],[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[1],[1],[1]]"
導,⿱道寸,"{type: ideographic, hint: A hand 寸 pointing the way to someplace 道}",寸,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
小,⿻亅八,"{type: ideographic, hint: Dividing 八 by a line 亅}",小,"[[0],[1],[1]]"
少,⿱小丿,"{type: pictographic, hint: Grains of sand; 小 provides the pronunciation and meaning}",小,"[[0],[0],[0],[1]]"
尔,⿱⺈小,null,小,"[[0],[0],[1],[1],[1]]"
尕,⿱乃小,"{type: pictophonetic, phonetic: 乃, semantic: 小, hint: small}",小,"[[0],[0],[1],[1],[1]]"
尖,⿱小大,"{type: ideographic, hint: A point, small 小 over big 大}",小,"[[0],[0],[0],[1],[1],[1]]"
